ID;Název;Stavba;Investor;Klient;"Rozsah služby";Realizace;"Rozpočtové náklady";Popis;Datum;Č.zak.;HIP;Menu;"Významná reference"
27;"Opěrná zeď Husitská";"Nové spojení Praha-hl.n.- Praha Holešovice, Opěrná zeď Husitská";"SŽDC s.o., SS Praha";"SUDOP Praha a.s.";"DSP+DZS 2002, RDS 2004-2006";2007;"30 mil. Kč";"Při rozšiřování Husitské ulice mezi křižovatkou Bulhar a Trocnovskou ulicí na čtyřpruhovou  směrově rozdělenou komunikaci bylo nutno komunikaci rozšířit směrem do lokomotivního depa, které leží o cca 5m níže než původní ulice a bylo od ní  odděleno opěrnou zdí. _x000D_Rozšíření bylo proto řešeno železobetonovou hybridní konstrukcí – spojením obložení stávající opěrné zdi , přesypané desky a přesypaného klenbového mostu. Ve druhé etapě stavby byla obložena i zbývající část zdi směrem k Trocnovské ulici. V nerozšířené části u křižovatky Bulhar byl pouze sanován stávající parapet na zdi._x000D_
Komunikace klesá proměnným spádem cca 0,6% od křižovatky Bulhar. Směrově je vedena v pravostranném oblouku. Rozšíření směrem k lokomotivnímu depu je proměnné od nulového až po max. cca 8,0 m. Na svých koncích zeď půdorysně navazuje na zeď stávající._x000D_
 Celková délka zdi (1. etapa) je  225,30 m, její sklon cca 5:1 a max. výška cca 6,5 m. Založení zdi je plošné._x000D_
Zeď byla rozdělena na 4 dilatační celky. V prvním celku (nejblíže ke křižovatce Bulhar) je nová opěrná stěna těsně přimknuta ke stávající opěrné zdi a po 15,0 m jsou v ní zřízeny stabilizační opěrné pilířky. Na stěně a pilířcích leží přesypaná železobetonová deska. Pohledově byl vnější líc zaoblen dle požadavků architekta._x000D_
Ve druhém a třetím dilatačním úseku je konstrukce navržena jako přesypaný železobetonový most o 4 polích o rozpětí  15,0 m. Tloušťka  desky mostovky ve vrcholu je 0,50 až 0,35 cm, vzepětí kruhového náběhu činí 1,0 m. V napojení na stávající zeď byl navržen lemující nosník výšky 1,35 m, jehož spodní hrana lícuje se spodní hranou mostu. Tento nosník leží po celé délce na stávající zdi._x000D_
Čtvrtý dilatační úsek je v prvním a druhém poli navržen jako klenbový most a ve třetím poli plošně podepřená deska na opěrných pilířcích. _x000D_
Mostní konstrukce je uložena na ložiskách a opatřena dilatačními závěry._x000D_
Zábradlí mostu tvoří ve spodní části zaoblený železobetonový parapet . Horní část je z ocelových sloupků_x000D_
s rámečky s výplní z tahokovu._x000D_
";"12. 03. 2015";00904.2-1;VV;mosty;
30;"Opěrná zeď Trocnovská";"Nové spojení Praha-hl.n.- Praha Holešovice, Opěrná zeď Trocnovská";"SŽDC s.o., SS Praha";"SUDOP Praha a.s.";"DSP+DZS 2002, RDS 2004-2006";2007;"15 mil. Kč";"Pro přístup na plochu nad ulicí Trocnovská je zřízena příjezdová rampa. Kvůli výškovému rozdílu mezi plochou a rampou i mezi plochou a ulicí  Trocnovskou byla na postavena zárubní zeď která částečně navazuje na upravenou zeď stávající._x000D_Nová úhlová železobetonová zeď se skládá ze severní a  jižní větve. Líc zdi je proveden ve sklonu 5:1 a obložen řádkovým zdivem. Půdorysná  změna směru obou větví z ulice na rampu je provedena pomocí kruhového náběhu  s vnějším poloměrem říms 6,00 m._x000D_
Jižní větev navazuje na stávající zeď  u Trocnovské 1. Je rozdělena na 4 dilatační celky. Má celkovou délku 52,41 m a výšku od 0,15 do 2,86 m.  Délka v tom započtené snížené původní zdi je 19,59 m. Celá jižní větev je ve výšce +195,85 opatřena vodorovnou římsou s ocelovým zábradlím městského typu._x000D_
Severní větev má římsu vedenou podél nové cesty ve spádu 4,14 %. Protože na její korunu navazuje svah, není opatřena zábradlím. Tato větev je celkem 44,98 m dlouhá a zeď má výšku od 0,15 do 3,16 m nad terénem. Snížená stará část s novou římsou je 12,09 m dlouhá._x000D_
";"12. 03. 2015";00906.5-1;VV;mosty;
82;"Oprava komunikace Kladenské";"Oprava komunikace Kladenské, Praha 6";"ÚMČ Praha 6";"ÚMČ Praha 6";"Studie 2010";Připravováno;"70 mil. Kč";"Ulice Kladenská se nachází v Praze 6 v těsné blízkosti ulice Evropské. Původně sloužila jako hlavní dopravní tepna, což se projevuje na značném prostoru MK.%%_x000D_V rámci projektu je variantně řešen návrh oprav v komunikaci Kladenské v úseku Bořislavka (MHD) - Alžírská. Součástí řešení v jednotlivých variantách je návrh uspořádání prostoru místní komunikace s ohledem na požadavky na dopravu v klidu, pohyb pěších a v neposlední řadě zachování či zvětšení zatravněných ploch a zeleně. Celkově byly navrženy tři varianty od varianty minimalistické, přes variantu kombinovanou až po variantu komplexní rekonstrukce. Rovněž jsou předběžně řešeny návaznosti na stávající inženýrské sítě a možnosti jejich úprav a předběžný odhad ceny jednotlivých variant. Varianty byly průběžně projednány se všemi dotčenými orgány.%%_x000D_
Z hlediska technického se jedná především o variantní řešení uličního prostoru tak, aby byla zachována obslužnost celé oblasti a došlo ke zklidnění celé komunikace při zachování stávajících parametrů dopravy v klidu. Rovněž bylo v rámci projektu řešeno nové propojení pěších z ulice Kladenské přes ulici Africkou směrem na ulici Evropskou._x000D_
";"12. 03. 2015";32410.1-2;JH;dstavby;
66;OSPAP;"Dopravní napojení závodu OSPAP";"OSPAP a.s.";"OSPAP a.s.";"DSP 2004";"dosud nerealizováno";"5 mil. Kč";"Projekt řeší samostatné dopravní napojení závodu OSPAP přes nový přejezd vlečky Kovošrotu v Praze Štěrboholích na silniční síť. Jedná se o přímé napojení areálu do křižovatky Kutnohorská – Černokostelecká – Ústřední, neboť stávající napojení, jenž je  společné s okolními dopravními areály na ulici Průmyslovou je kapacitně i dopravně nevyhovující.  %%_x000D_Posouzen musel být i vliv napojení areálu firmy OSPAP, včetně železničního přejezdu přes vlečku Kovošrotu, na světelně řízenou křižovatku Černokostelecká - Ústřední - K Hrušovu. Významnou součástí byla koordinace stavby s rozvojem dotčeného území v oblasti prodloužení trasy metra B, rozvojem areálu Autoservis a prodejna vozů Tukas, areálem Čechofracht  a dalším rozvojem  vlečkového systému Kovošrotu. %% _x000D_
S ohledem na velkou hustotu křižovatek v dotčené oblasti nebylo nové napojení dosud realizováno._x000D_
";"12. 03. 2015";07304.2-2;JB;dstavby;
43;"Park Malšovice";"Areál volnočasových aktivit Malšovice, OSC a multifunkční aréna";"Město Hradec Králové a ECE Projektmanagement Praha";"Casua s.r.o.";"Návrh stavby a DÚR";;"2,0 miliardy Kč";"V rámci revitalizace rekreačního území Park Malšovice připravuje město Hradec Králové společně s developerskou společností ECE výstavbu nové multifunkční arény a obchodního centra._x000D_%%%%Multifunkční aréna svým konstrukčním řešením umožňuje, kromě celoročního provozu fotbalového klubu, také pořádání jiných sportovních a společenských akcí. Aréna, půdorysných rozměrů 158,6x140,6m, je tvořena čtyřmi navzájem kolmými tribunami výšky až 23,5m a využitelnou plochou 120,0x80,0m s fotbalovým hřištěm 105,0x68,0m. V tribunách je umístěn parking (cca 250 stání), šatny, občerstvení, administrativa, tělocvična (pingpong) a VIP patro._x000D_
%%%%OSC je navrženo jako čtyřpodlažní budova (přízemí až 3.patro-střecha) se dvěmi parkovacími podlažími, jedním v přízemí a druhým na střeše. V části parkovacího podlaží na střeše je navržena zelená střecha. Vstupy do objektu jsou buďto přímo z terénu nebo pomocí vnější rampy vedoucí na střechu. V 1. a 2.patře je situováno vlastní obchodní centrum včetně komunikačních propojení (Mall). Druhé patro je částečně zastropeno ocelovou prosklenou střechou nad komunikacemi Mallu.%%Stropní konstrukce jsou navrženy jako spojité desky tloušťky 25cm, uložené na průvlacích._x000D_
";"12. 03. 2015";29810.1-1;VV;pstavby;
93;"Parking O2";"Parkovací dům Telefonica O2, Praha 3";"Telefonica O2 Czech Republic";"Unistav a.s., ŽPSV a.s.";"změna DZS a RDS 2010";2010-2011;"55 mil. Kč";"Parkovací dům je navržen jako šestipodlažní budova půdorysných rozměru 52x69m. Konstrukční výška patra je 2850mm, podjezdná výška pod trámy 2250mm. Vstupy do objektu jsou umístěny vedle schodišťového jádra, v části podzemního podlaží jsou navrženy atypické garáže se samostatnými vjezdy a sklad.  Komunikaci mezi patry zajišťuje rampa ve tvaru šroubovice, uvnitř prostoru vymezeného vnitřní stěnou rondelu je navržena nová požární nádrž. %%_x000D_Modulový systém skeletu je 8,25x7,60m, navržena je spřažená hybridní konstrukce beton-beton s maximálním podílem prefabrikace. Prefabrikována je převážná část skeletu parkovacího domu, rampa je z větší části monolitická. Kromě toho jsou použity vodotěsné betony na konstrukce obvodové podzemní stěny podél přístupové komunikace, požární nádrž a podzemní kolektor pro napojení požární nádrže na hlavní objekt Telefónica O2. %%_x000D_
_x000D_
Základní prvky konstrukčního systému skeletu byl průběžný pětipodlažní sloup s konzolami, primární zdvojené vnitřní spojité nosníky 250x600mm na rozpětí 7,60m a krajní prosté nosníky 600x575mm s integrovanými parapety v osách 1, 8. Pro zjednodušení vynášecích roštů v prostoru napojení kruhové rampy byly navrženy primární zdvojené předpjaté nosníky 350x600mm na rozpětí 12,30m. Vlastní stropní konstrukce byla navržena jako spojitý filigránový strop d=200mm na rozpětí 8,25 (7,15+1,10) m. %%_x000D_
Založení objektu je hlubinné na vrtaných pilotách v kombinaci se základovými pasy a patkami. Zajímavostí návrhu je kruhová základová deska se založením vnitřního tubusu rondelu i vodojemu, která zároveň přemostila podzemní kolektor inženýrských sítí. %%_x000D_
Postup výstavy byl výrazně ovlivněn stísněnými podmínkami staveniště s jedinou přístupovou komunikací, velmi omezenými možnostmi skladování materiálu a nutností zachování provozu požární nádrže. Možnost nezávislého provádění jednotlivých částí konstrukce byla proto nutnou podmínkou pro dodržení harmonogramu výstavby.";"12. 03. 2015";31310.1-1;VV;pstavby;
26;"Parking Plaza Plzeň";"Obchodní centrum Plzeň Plaza, Parkovací dům";"PILSEN PLAZA s.r.o.";"PILSEN PLAZA s.r.o.";"DSP+RDS 2007";2006-2007;"120 mil. Kč";"Nové nákupní a společenské centrum Plzeň Plaza je situováno přímo ve středu města Plzně, v lokalitě bývalého městského výstaviště. Většina parkovacích míst pro návštěvníky je zajištěna samostatným parkovacím objektem. Třípodlažní parkovací dům o přibližně 450 stáních je napojen podzemním tunelem na obchodní centrum a do budoucna je uvažováno s možností nastavení o jedno až dvě další podlaží._x000D_Výsledné dispoziční a staticko-konstrukční řešení vychází z modulu 16,50x7,20m. Konstrukce je navržena jako spřažená beton-beton s maximálním podílem prefabrikace, základní prvky konstrukčního návrhu jsou následující:_x000D_
•	Založení plošné na patkách se skrytými kalichy_x000D_
•	Průběžný třípodlažní sloup s konzolami_x000D_
•	Primární předpjatý nosník na rozpětí 16,50m_x000D_
•	Spojitý filigránový strop na rozpětí 7,20m_x000D_
•	Filigránové nosníky Montaquick, dvoufázová betonáž bez montážního podepření _x000D_
•	Prefabrikované parapety, ukládané mezi sloupy na atypické nožové konzoly a zmonolitněné se stropní deskou._x000D_
Všechna schodišťová jádra, obvodové podzemní i nadzemní stěny, konstrukce rampy pro pěší i portálová stěna v severovýchodním rohu jsou navrženy z monolitického železobetonu._x000D_
_x000D_
Základní parametry výsledného návrhu:_x000D_
Půdorysný rozměr objektu			68 x 62m_x000D_
Podélný spád na rampách			3,60%_x000D_
Počet parkovacích stání			456 stání_x000D_
_x000D_
Pro zjednodušení konstrukce byl objekt o rozměrech cca 60x60m navržen bez dilatační spáry. Tuhá jádra v rozích objektu zabraňují délkové deformaci stropů a mohou způsobit vznik trhlin ve vnitřních polích filigránových desek. Proto byla konstrukce stropních desek ve dvou horních podlažích oddilatována od schodišťových jader. Filgránové desky byly uloženy na kluzná ložiska na konzoly, obdobným způsobem byl upraven i detail uložení primárních nosníků._x000D_
	Všechny stropní desky jsou vyspádovány při minimálním spádu 2%, v úžlabích jsou navrženy vpusti. Vozovky jsou navrženy v nulové tloušťce, budou provedeny polyuretanové stěrky, v nejvyšším podlaží je navržena zesílená dvouvrstvá stěrka._x000D_
";"12. 03. 2015";20007.1-1;VV;pstavby;
76;Planá–Cheb;"Optimalizace trati Planá u M.L.– Cheb";"SŽDC s.o., SS Praha";"SUDOP Praha a.s.";"Přípravná dokumentace 2005, Projekt 2005";2009;"146 mil. Kč";"Předmětem projektu byl proveden návrh komunikací, zpevněných ploch a dopravních opatření v rámci optimalizace stávající železniční trati Planá u Mariánských Lázní – Cheb. Konkrétně se jedná o návrh devatenácti stavebních objektů. %%_x000D_Z projekčního hlediska se jedná o úpravy komunikací v místě přejezdů a upravovaných mostních objektů jak intravilánového tak extravilánového charakteru (např. I/21). Dále byly provedeny návrhy obslužných komunikací a zpevněných ploch v návaznosti na nově navrhované kolejiště a v neposlední řadě o návrhy úprav komunikací pro vozidla i pro pěší v místě nově navrhovaných nebo upravovaných budov a objektů (mimo jiné Valy u Mar. Lázní, Lázně Kynžvart). %%_x000D_
 Konstrukce komunikací a zpevněných ploch byly navrženy s ohledem na předpokládané dopravní zatížení. Nedílnou součástí projekčních prací byla i koordinace se souvisejícími stavebními objekty. Součástí projektu je rovněž řešení dopravních opatření pro celou stavbu. %%_x000D_
";"12. 03. 2015";09005.2-2;JB;dstavby;
67;"Pod Závěrkou";"Rekonstrukce ulice Pod Závěrkou";"TSK hl. m. Prahy";"TSK hl. m. Prahy";"Studie + DSP 2002, RDS 2003";2003;"3 mil. Kč";"Ulice Pod Závěrkou se nachází na příkrém západním svahu nad prostorem Smíchovského nádraží v Praze 5. Jedná se o obousměrnou slepou ulici. Sesuvem svahu v místě kanalizační šachty došlo i k poruše přilehlé vozovky. Ve velmi špatném stavu byla i další část vozovky ve směru ke konci ulice Pod Závěrkou. %%_x000D_Po prověření variant byla navržena nová opěrná zeď s úpravou vozovky v celém rozsahu, na konci upravovaného úseku bylo navrženo obratiště. Obratiště bylo navrženo do nejširšího místa 9,0 m před nové garáže v šíři 4,0 m s volným pruhem. Celková délka upravovaného úseku byla cca 80 m. Stavbou opěrné zdi došlo k  zásahu do původní živičné vozovky. Nová vozovka byla navržena v celém úseku od opěrné zdi za novou točku a to v základní šíři 1,5 m.%%_x000D_
Komplikovaný byl návrh nové opěrné zdi, kde byla v závislosti na konfiguraci terénu navržena postupně stěna kotvená, opěrná stěna na mikropilotové bárce a gabionová zídka. Rovněž realizace stavby ve velmi stísněných podmínkách byla problematická_x000D_
";"12. 03. 2015";02202.1-1;JB;dstavby;
29;"Podchody Ohrada";"Nové spojení Praha-hl.n.- Praha Holešovice, Podchody Ohrada";"SŽDC s.o., SS Praha";"SUDOP Praha a.s.";"DSP+DZS 2002, RDS 2004-2006";2007;"50 mil. Kč";"Skupina objektů „Podchody Ohrada“ je součástí komunikace pro pěší, propojující ulice Pod Krejcárkem_x000D_ a U Sluncové. Tato komunikace vede z Karlína po prudkém svahu kopce nahoru na Žižkov.  Cestou mimoúrovňově pomocí podchodů kříží šest železničních tratí vybudovaných v rámci stavby „Nové spojení“. Ke skupině tří podchodů patří  i  schodiště._x000D_
Všechny podchody jsou uzavřené železobetonové rámy o jednom poli.  Založené jsou plošně na průběžné základové desce. Křídla mají rovnoběžná. Všemi prochází komunikace pro pěší 3,0 m  a odvodňovací žlab 1,0 m široký._x000D_
Na podchodech vede jedna, tři nebo dvě železniční trati v kolejovém loži tloušťky 0,55 m.%%_x000D_
Na prvním podchodu, situovaném  nejníže ve svahu poblíž ulice U Sluncové vede jednokolejná trať. Podchodem prochází  pozemní komunikace v levostranném oblouku  o poloměru 14,6 m. Šířka mostu od římsy k římse je 8,83 m,délka 20,96. m . Křídla na karlínské straně jsou ukončena svisle a navazují na opěrné zdi. Římsa na těchto křídlech tvoří zárodek protihlukové stěny. Konce křídel na žižkovské straně jsou vykrakorcované pod úhlem 60°. Římsa na těchto křídlech má standartní tvar a nese běžné ocelové železniční zábradlí.%%_x000D_
Druhým, prostředním podchodem prochází pěší komunikace. Most nese tři železniční trati z nichž je jedna krajní o 1,1 m níže než dvě zbývající. Šířka mostu 17,64 m a délka 24,44 m. Konce křídel na karlínské straně jsou vykrakorcované, na straně žižkovské svislé  a navazují na opěrné zdi. Do křídla je zde integrován základ trakčního stožáru.  Všechny římsy tohoto objektu mají standartní tvar a nesou běžné ocelové železniční zábradlí.%% _x000D_
Na třetím mostu jsou dvě koleje.  Most má šířku 13,82m a délku 14,80m. Křídla na žižkovské straně jsou vykrakorcovaná a nesou běžnou římsu se standartním železničním zábradlím. Křídla na karlínské straně jsou ukončena svisle a jejich římsa je zárodkem pro protihlukovou stěnu.%%_x000D_
Do skupiny patří i dva úseky schodišť jejichž šířka odpovídá uspořádání v podchodech. První z nich se nachází mezi druhým a třetím podchodem kde komunikace zahýbá v pravém úhlu do leva a stoupá schodištěm ve směru vrstevnic ke třetímu podchodu. Na straně po svahu je zde schodiště drženo železobetonovou opěrnou zdí opatřenou ocelovým zábradlím městského typu. Druhý úsek schodiště se nalézá nad třetím podchodem a zajišťuje výstup z podchodu na úroveň terénu._x000D_
";"12. 03. 2015";00904.2-1;VV;mosty;
65;Podolská;"Oprava ulice Podolské v Praze 4";"TSK hl. m. Prahy";"TSK hl. m. Prahy";"JP 2003";2004;"3,2 mil. Kč";"Oprava ulice Podolské v úseku Jeremenkova směr Modřanská řeší výstavbu nové vozovky a chodníků v místech stávající dlážděné vozovky s přilehlými chodníky. Součástí projektu je rovněž oprava opěrné zdi, resp. záhlaví v konci úpravy komunikace. %%_x000D_Celková oprava vozovky je navržena v délce 177,33 m. Dále navazuje frézování vozovky v délce 51,04 m. Šířkové i směrové řešení zůstává maximálně zachováno. Celková délka upravovaného úseku tak činí 228,37 m. %%_x000D_
Opravovaná opěrná zeď v Podolské ulici umožňuje připojení ulice „K Vysoké cestě“. Maximální výškový rozdíl obou ulic je cca 5 m. Výška zdi je proměnná od 15 cm do 4,1m. Délka zdi je 39,6 m. Na stávající základ se vybuduje nová úhlová železobetonová zeď s proměnnou výškou. %%_x000D_
";"12. 03. 2015";06103.1-2;JB;dstavby;
94;Polerady;"Polerady – varianta „B“ stavba 65 bytových jednotek – Komunikace a inž. sítě ";"Nové Polerady I          ";"3AS Jiří Solnař";"DÚR 2007, DSP 2010, DPS 2011";postaveno;"10 mil. Kč";"Dokumentace se zabývá návrhem nové sítě obslužných komunikací, které budou sloužit k zajištění obslužnosti budov a RD postavených v rámci stavby nového obytného souboru v Poleradech. Všechny komunikace umožňují přístup a obslužnost jednotlivých objektů, vzhledem k předpokládaným nízkým intenzitám je proto část komunikací navržena v režimu obytných zón.%%Šířkové uspořádání a kategorizace komunikací je navržena v souladu s dopravními požadavky řešené oblasti. Řešené komunikace jsou obousměrné dvoupruhové s šířkou vozovky min. 5,50m. Pro zajištění pěší dopravy je podél komunikací navržen chodník min. šířky 1,50m. Směrový návrh komunikací je definován polohou a dispozicemi navrhované zástavby, výškový návrh vychází ze stávajícího stavu a výškového umístění jednotlivých objektů.%%Celkový návrh obsahuje komunikace v délce cca 850m. Odvodněné je řešeno pomocí vsakovacích bloků. Nedílnou součástí projektu je i napojení na stávající komunikační síť, silnici II. třídy Polerady-Mratín._x000D__x000D_
";"12. 03. 2015";21707.1-2;JB;dstavby;
41;"Přechody Praha 10";"Opatření pro zklidnění dopravy na komunikacích v Praze 10";"Úřad městského obvodu Plzeň 3";"AŽD Praha s.r.o.";"DSP 2008";"od roku 2009 průběžně";;"Projektová dokumentace řeší stavební úpravy přechodů pro chodce na akci „Zvýšení bezpečnosti silničního provozu na páteřních komunikacích na Praze 10“. V úrovni DSP je zpracováno celkem 59 vytipovaných přechodů v Praze 10, na kterých bylo třeba zvýšit bezpečnost dle podkladu ÚMČ Praha 10.%% _x000D_Projektované stavební úpravy spočívají zejména v realizaci prvků bezbariérového řešení přechodů a jejich projednání se SONS a OD ÚMČ Praha 10. Výsledkem je výrazné zklidnění dopravy na řešených místech a s tím spojené zvýšení bezpečnosti pohybu chodců. Toho je docíleno již zmíněnými bezbariérovými úpravami, úpravami pro nevidomé a slabozraké, návrhem středních dělících ostrůvků, zúžením vozovky v místě přechodů, návrhem protismykového povrchu vozovky v místě přechodů (ROCBINDA), úpravou poloměrů směrových oblouků v křižovatce, umístěním nového zábradlí atd. Ve stupni DSP se neuvažuje s výškovým řešením.%% _x000D_
Výstupy projektové dokumentace jsou tech. zpráva, situace a typové vzorové řezy. Řešená místa jsou rozdělena na úpravy přechodů přes dvoupruhové vozovky (31 přechodů), čtyřpruhové přechody s úpravou středních ostrůvků (28 přechodů)._x000D_
";"12. 03. 2015";23008.1-2;JB;dstavby;
88;"Přesypané dálniční mosty SO 201, SO 206, SO 207";;"ŘSD ČR";"DOPRAVOPROJEKT Brno a.s.";RDS;2009;"55 mil. Kč";"V rámci projektu byly zpracovány RDS na tři dálniční přesypané mosty. Konstrukce mostu byla navržena z tenkostěnných prefabrikovaných obloukových dílců systému TOM2 vyráběných firmou Eurovia (dříve SSŽ). Pro mosty byl použitý běžný největší typ průřezu TOM2 S3. Jednotlivé objekty se liší počtem tubusů (1, 2 a 5) a způsobem založení (plošné a hlubinné), které bylo vzhledem ke složitým geologickým podmínkám podrobně vyšetřováno. Objekt s 5 tubusy je v současné době největším, který byl z těchto prefabrikátů u nás navržen. Pro jeho výstavbu je použito celkem 228 prefabrikátů, šířka mostu mezi zábradlím je 23,84 m a délka mostu je 51,2 m. Skladebné délky všech prefabrikátů jsou 2,20 m. Kolmá křídla odpovídají sklonu přilehlého svahu a jsou vyrobena úpravou standardních bočních dílců. Jednotlivé segmenty tubusu sestavené z dílců jsou montovány tak, aby spára v patě mezi nimi byla minimálně 10 mm. Základní tloušťka klenby a boků je 300 mm. Boky se směrem k patkám rozšiřují. Železobetonová konstrukce tubusu působí v interakci se zeminou. Styčné spáry jednotlivých prefabrikovaných dílů jsou situovány přibližně do míst nulových ohybových momentů a spáry mezi bočním a klenbovým dílem zůstávají trvale volné. Konce bočního a klenbového dílce jsou vytvarovány valcovými plochami tak, že po smontování vznikne na styku průběžný válcový kloub. Statický výpočet je proveden na základě fyzikální a geometrické nelinearity pro symetrické a asymetrické zatížení. Pro objekt založený na pilotách byl ve spolupráci ČVUT Praha katedrou geotechniky proveden podrobný výpočet pomocí geotechnického systému PLAXIS. Na základě výsledků statických výpočtů byl dále zpracován technologický postup provádění zásypu stanovující jak materiály pro zásyp, tak i postupy a kontrolní zkoušky hutnění.";"12. 03. 2015";24608.1-1;PK;mosty;
23;"Přístřešky Velenice";"Optimalizace TÚ České Velenice – Veselí n.L., nádražní přístřešky Č. Velenice";"SŽDC s.o., SS Plzeň";"SUDOP Praha a.s.";"DSP+RDS 2008-2009";2009;"20 mil. Kč";"Železobetonové skořepiny zastřešení nástupišť v železniční stanici České Velenice byly postaveny v roce 1948 jako náhrada za válkou zničené secesní konstrukce podle návrhu akademika Hacara. Od té doby nebyly nijak opravovány ani neproběhla jejich rekonstrukce. S ohledem na historickou hodnotu bylo respektováno přání investora konstrukci zachovat.%%Jedná se o monolitické železobetonové skořepinové konstrukce na sloupech vetknutých do základových patek. Uprostřed je každý díl nesen železobetonovým sloupem osmiúhelníkového průřezu. Středem sloupů jsou vedeny svody dešťové kanalizace. Přístřešky sestávají z jednotlivých betonážních dílů (polí). Skořepiny jsou v obou půdorysných osách podporovány celkem čtyřmi nosnými žebry, které jsou vykonzolovány z centrálních sloupů. Díly jsou po obvodě vyztuženy lemujícími žebry, které působí jako táhlo (obruč) skořepinové konstrukce. Vlastní skořepiny jsou navrženy jako hyperplochy s tloušťkou 8 cm.%%Ze závěrů provedených průzkumů vyplynulo, že konstrukce přístřešků vykazuje značná statická poškození.%%Výztuž skořepinové membrány je tvořena sítí z prutů 5,5 mm o velikosti ok 150 mm a je zabetonována osově v úrovni cca 35 mm nad spodním povrchem skořepiny.%%Stanovení rozsahu sanačních prací předcházel podrobný statický výpočet skořepinové konstrukce. Konstrukce byla modelována jako prostorová skořepina vyztužená žebry vetknutými do sloupů a táhly umístěnými na okraj skořepiny. Sloupy jsou vetknuty do základových patek. Výpočtem byly zjištěny napětí v jednotlivých konstrukčních částech. Pro skořepinu byl dále proveden výpočet s uvážením ortoropie.%%Výpočet ukázal, že konstrukce přístřešků u nádražní budovy vyhoví i dnešnímu zatížení. Ostrovní přístřešek je však nutné zesílit. ";"12. 03. 2015";15307.3-1;PK;mosty;
81;"Rezidence nad Rokytkou";"Rezidence nad Rokytkou ";"Rokytka Gardens C1 Group, s.r.o.";"LOXIA a.s.";"DSP 2007, DZS 2010";2010;"10 mil. Kč";"Součástí projektu výstavby obytného komplexu „Rezidence nad Rokytkou“ v Praze 14 Hloubětíně byly kromě vlastních obytných domů též komunikace a návazné zpevněné plochy. Jedná se o příjezdovou komunikaci připojující obytný komplex na ulici U Elektry (včetně přilehlého chodníku a kolmých parkovacích stání) a umožňující přístup vozidel na podzemní parkoviště. Jižně od vjezdu do podzemních garáží bylo navrženo venkovní parkoviště s 29 kolmými stáními, na které dále navazuje pojížděný chodník, zajišťující dopravní obslužnost bytových domů č. 3,4 a 5. Součástí projektu byl také návrh dopravního značení v podzemních garážích pod obytnými objekty.";"12. 03. 2015";16010.6-2;JB;dstavby;
89;"River Gardens";"Administrativní komplex River Gardens (Horizon Offices), Praha 9";"Volksbank – Premium Red";"4A architekti";"Koncepční studie, DSP, DZS";;"180 mil.Kč";"Administrativní komplex River Gardens je situován na Rohanském nábřeží v Praze 8. Z původního architektonického záměru rozsáhlého komplexu o devíti budovách je realizována stavba River Gardens East investora Premium Red (Volksbank). Jedná se o původně tři kancelářské budovy podlouhlého tvaru V3, V6 a V9, situované podél komunikace Rohanské nábřeží. V rámci vstupní koncepční studie byl architektonický návrh dále upraven a namísto tří budov jsou projektovány dvě budovy V3 a V6 na stejném půdoryse.%%Architektonicko-stavební řešení zpracovávají kanceláře 4A architekti z Prahy a Baumschlager Eberle z Vídně.%%Projektované objekty V3 a V6 jsou protáhlého tvaru, v podélném směru délky postupně cca 115,0 a 115,0m, celková délka 230m. Půdorysný rozměr v příčném směru je v podzemní části cca 33m, v nadzemní části přibližně poloviční.";"12. 03. 2015";25208.1-1;VV;pstavby;
13;Roztocká;"Oprava komunikace Roztocké";"TSK hl. m. Prahy";"TSK hl. m. Prahy";"DUR 2003, DSP 2004, RDS 2006";2006;"50 mil. Kč";"Opravovaná ul. Roztocká v úseku Kamýcká - V Rokli je silnicí II/242, která byla poškozena povodní v roce 2002 a částečně i 2006. V řešeném úseku délky 1063 m dochází k drobným směrovým a výškovým změnám. Šířka vozovky sjednocena na S 9,5/50, chodníky rozšířeny a prodlouženy. Na trase vybudováno několik zpomalovacích prvků (zvýšené prahy, ostrůvky) a zajištěno propojení s vybudovanou cyklostezkou a zprovozněným přívozem v Sedlci, vybudována dvě parkoviště. Součástí stavby jsou i rozsáhlé  přeložky inženýrských sítí, tj. DK-ČD, kabely MTS Telecom vč. DK, nové VO a řešeno odvodnění (propustek). Stavba vyvolala rozsáhlá dopravní opatření na objízdných trasách mezi Prahou 6 a Roztoky.";"12. 03. 2015";04203.2-2;JB;dstavby;
